_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	pam_cluster	medoid
destroy.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-1.601219323955975	-1.475584904037207	LEMMAPATH2	NA	NA	LEMMAPATH	no	NA	NA	5000	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-1.5739969240099256	-1.4859817351948148	LEMMAPATH2	NA	NA	LEMMAPATH	no	NA	NA	5000	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-1.4063920252535156	-0.6184861926955918	LEMMAPATH2	NA	NA	LEMMAPATH	no	NA	NA	FOC	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-1.4344134318734987	-0.6753228704964641	LEMMAPATH2	NA	NA	LEMMAPATH	no	NA	NA	FOC	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-1.0913873847788769	-1.283320756970297	LEMMAPATH2	NA	NA	LEMMAPATH	selection	NA	NA	5000	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-1.1046413527777694	-1.3268740496194322	LEMMAPATH2	NA	NA	LEMMAPATH	selection	NA	NA	5000	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.9197940053300115	-0.5609159251391455	LEMMAPATH2	NA	NA	LEMMAPATH	selection	NA	NA	FOC	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9608476523349198	-0.6301438720292447	LEMMAPATH2	NA	NA	LEMMAPATH	selection	NA	NA	FOC	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.6635116457122253	-0.64959720293593	LEMMAPATH2	NA	NA	LEMMAPATH	weight	NA	NA	5000	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-0.675837905058867	-0.7204396583183993	LEMMAPATH2	NA	NA	LEMMAPATH	weight	NA	NA	5000	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-0.6217671266575046	-0.37026164486645696	LEMMAPATH2	NA	NA	LEMMAPATH	weight	NA	NA	FOC	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6729212443598506	-0.40631401268077094	LEMMAPATH2	NA	NA	LEMMAPATH	weight	NA	NA	FOC	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	-2.037430671522271	-0.20282545838070898	LEMMAPATH3	NA	NA	LEMMAPATH	no	NA	NA	5000	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSnav	-1.9235854300436495	-0.28114566008474207	LEMMAPATH3	NA	NA	LEMMAPATH	no	NA	NA	5000	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSall	-1.481163471976899	0.04201158360299862	LEMMAPATH3	NA	NA	LEMMAPATH	no	NA	NA	FOC	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSnav	-1.4373849812718626	0.026345542669299032	LEMMAPATH3	NA	NA	LEMMAPATH	no	NA	NA	FOC	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall	-1.3952417793420315	-0.25328106188190014	LEMMAPATH3	NA	NA	LEMMAPATH	selection	NA	NA	5000	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSnav	-1.365417970397032	-0.2785594615363041	LEMMAPATH3	NA	NA	LEMMAPATH	selection	NA	NA	5000	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
